date,value,target
25.12.2021 10:45,50714.97,0
25.12.2021 10:30,50735.00,0
25.12.2021 10:15,50817.57,1
25.12.2021 10:00,50807.99,0
25.12.2021 09:45,50902.85,0
25.12.2021 09:30,50923.40,1
25.12.2021 09:15,50903.56,1
25.12.2021 09:00,50878.54,1
25.12.2021 08:45,50820.55,1
25.12.2021 08:30,50807.00,0
25.12.2021 08:15,50861.84,0
25.12.2021 08:00,50939.46,1
25.12.2021 07:45,50835.41,0
25.12.2021 07:30,51071.02,1
25.12.2021 07:15,51016.09,1
25.12.2021 07:00,50927.24,1
25.12.2021 06:45,50883.53,1
25.12.2021 06:30,50876.65,1
25.12.2021 06:15,50749.99,0
25.12.2021 06:00,50871.05,0
25.12.2021 05:45,50889.70,0
25.12.2021 05:30,50990.30,1
25.12.2021 05:15,50967.26,1
25.12.2021 05:00,50889.99,1
25.12.2021 04:45,50880.18,0
25.12.2021 04:30,50934.60,0
25.12.2021 04:15,50951.22,1
25.12.2021 04:00,50818.32,0
25.12.2021 03:45,50896.85,1
25.12.2021 03:30,50882.50,1
25.12.2021 03:15,50806.60,1
25.12.2021 03:00,50796.38,0
25.12.2021 02:45,50915.71,0
25.12.2021 02:30,51078.99,1
25.12.2021 02:15,50986.50,1
25.12.2021 02:00,50985.85,1
25.12.2021 01:45,50871.75,0
25.12.2021 01:30,50969.02,0
25.12.2021 01:15,51026.82,0
25.12.2021 01:00,51058.06,1
25.12.2021 00:45,50980.82,1
25.12.2021 00:30,50882.00,1
25.12.2021 00:15,50849.99,1
25.12.2021 00:00,50770.14,0
24.12.2021 23:45,50831.97,1
24.12.2021 23:30,50723.31,1
24.12.2021 23:15,50604.97,0
24.12.2021 23:00,50748.19,1
24.12.2021 22:45,50689.37,0
24.12.2021 22:30,50882.88,1
24.12.2021 22:15,50715.00,0
24.12.2021 22:00,50841.82,0
24.12.2021 21:45,50925.00,0
24.12.2021 21:30,51090.47,1
24.12.2021 21:15,51019.45,0
24.12.2021 21:00,51046.11,0
24.12.2021 20:45,51155.35,1
24.12.2021 20:30,51072.95,0
24.12.2021 20:15,51187.40,1
24.12.2021 20:00,51011.93,0
24.12.2021 19:45,51354.86,0
24.12.2021 19:30,51484.01,0
24.12.2021 19:15,51725.72,1
24.12.2021 19:00,51650.00,1
24.12.2021 18:45,51371.50,1
24.12.2021 18:30,51214.98,1
24.12.2021 18:15,51131.26,1
24.12.2021 18:00,51069.00,1
24.12.2021 17:45,50876.87,0
24.12.2021 17:30,50879.91,1
24.12.2021 17:15,50778.61,0
24.12.2021 17:00,50942.58,1
24.12.2021 16:45,50931.71,0
24.12.2021 16:30,51081.55,0
24.12.2021 16:15,51196.93,1
24.12.2021 16:00,50914.46,1
24.12.2021 15:45,50706.46,0
24.12.2021 15:30,50837.50,1
24.12.2021 15:15,50675.37,1
